200;198;200;79,1601;76,5495
200;200;200;81,2357;83,4046
200;198;198;84,9008;93,7161
200;200;200;90,2973;79,5511
200;200;200;81,2449;72,8014
200;198;198;79,5388;93,3108
200;198;200;77,0231;70,7768
200;200;198;72,5453;70,8885
200;200;198;80,8029;73,0066
200;200;200;74,9635;70,7936
200;198;200;72,4812;69,3823
200;200;200;72,0944;70,3824
200;200;200;72,6258;70,5038
200;198;200;73,3605;70,7094
200;198;200;72,6833;70,6444
200;198;200;71,9509;70,8833
200;198;200;72,8036;75,9425
200;198;198;72,7037;69,0414
200;200;198;72,2002;71,8981
200;198;198;71,7188;70,6531
200;198;200;72,4089;70,6602
200;198;200;72,667;71,0528
200;198;196;72,4345;70,5386
200;200;198;72,5321;70,8606
200;198;200;73,7343;70,6461
200;198;198;72,5293;71,2657
200;200;200;71,9368;70,1379
200;200;200;72,7885;70,4442
200;198;198;72,5016;71,3459
200;200;200;72,5361;70,6399
200;200;200;74,2928;70,3329
200;198;200;71,7564;71,2869
200;200;200;72,6539;71,2851
200;198;198;73,6796;70,6492
200;198;200;72,4179;71,6137
200;198;200;72,8298;72,6688
200;198;200;72,1997;70,1171
200;200;200;73,3202;69,7241
200;198;198;72,9802;71,4585
200;198;198;71,6323;69,9829
200;198;198;74,3586;70,3646
200;200;198;72,2213;71,1711
200;198;198;72,0032;70,9898
200;200;200;72,9073;69,9663
200;200;200;73,089;70,8727
200;198;198;72,055;70,0344
200;198;200;72,9773;70,8755
200;198;198;74,2842;70,4555
200;196;198;70,8636;70,6087
200;198;198;72,5948;71,4442
